# Taxonomy updates
# This is a running list of current taxonomic classifications
# 2026-04-06
level	original	new
family	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae
genus	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia	Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae
genus	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;unclassified_Planctomycetaceae	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula
class	Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Pseudomonadota;Alphaproteobacteria
genus	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Bradyrhizobium
genus	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae;Cohaesibacter	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Cohaesibacter
family	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae
genus	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Terasakiella	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;Terasakiella
family	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae
genus	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Methyloceanibacter	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methyloligellaceae;Methyloceanibacter
family	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unclassified_Rhizobiales	Bacteria;Pseudomonadota;Alphaproteobacteria;Kiloniellales;Kiloniellaceae
class	Bacteria;Proteobacteria;Deltaproteobacteria	Bacteria;Thermodesulfobacteriota;Desulfobacteria
order	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales	Bacteria;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales
family	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae	Bacteria;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales;Bacteriovoracaceae
family	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae	Bacteria;Cyanobacteriota;Vampirivibrionia;Vampirovibrionales;Vampirovibrionaceae
genus	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Vampirovibrio	Bacteria;Cyanobacteriota;Vampirivibrionia;Vampirovibrionales;Vampirovibrionaceae
genus	Bacteria;Proteobacteria;Deltaproteobacteria;Deferrisoma;Deferrisoma;Deferrisoma	Bacteria;Thermodesulfobacteriota;Deferrisomatia;Deferrisomatales;Deferrisomataceae;Deferrisoma
order	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales	Bacteria;Thermodesulfobacteriota;Desulfarculia;Desulfarculales
order	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales
genus	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatiglans	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans
genus	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatirhabdium	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfatirhabdiaceae;Desulfatirhabdium
genus	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacterium	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacterium
genus	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfospira	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfospira
